ct20_id,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1-FAM RES,count_2-FAM RES,count_3-FAM RES,count_CONDOMINIUM,count_RES DEV LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhapi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
25009203301,1935,480000,279750,327875,6,2,3,4807,1725.5,2237,64200,16.085,1750.5,12,45,5,45,14,2,0,44,0,3,136,26,2,0,74,77,74,554,18,12,23,761,38,798,54,554,37,10,192,3,70,852,2020,4098,1906,2192,773,2341,984,3711,31,10,70,0,70,20,115,141,1099,1862,1099,495,294,208,72,17,13,763,664,82,11,3,0,1,2,2017-21,107218,11090,116648,22722,47279,18939
25023501101,1942,734000,325000,460000,8,3,3,21655,2432,2045.5,180000,30.21,2450.5,10,48,5,28,3,3,0,38,1,10,85,10,3,0,65,69,65,590,10,13,23,598,29,622,51,590,11,4,13,17,68.4,673,2020,3516,1735,1781,970,1909,637,3267,18,0,65,0,65,11,105,50,942,1255,942,343,170,242,132,47,8,313,288,24,0,0,0,0,1,2017-21,165865,44346,220694,73853,0,0
25025091200,1905,444900,229500,350000,6,2,3,1229,1300,2046,101500,33.9,1350.5,12,45,2,7,3,3,0,26,0,4,23,18,5,2,26,27,26,30,27,12,13,265,10,279,48,30,19,53,209,0,63.6,327,2020,3140,1549,1591,593,2172,375,1120,546,0,174,0,174,155,384,761,608,1204,608,250,148,109,57,28,16,596,360,131,51,46,5,2,1,2017-21,71125,33529,143056,40050,40625,30092
25017334400,1969,405000,233000,328800,6,2,3,9000,1660,2140,78000,24.32,1650.5,11,72,20,40,4,3,0,65,0,20,132,15,3,1,136,140,136,666,31,29,35,1070,40,1126,79,666,49,3,430,3,65.5,1205,2020,6681,3203,3478,1434,3912,1335,5551,137,3,468,0,468,53,254,215,1768,2702,1768,695,414,425,174,43,17,934,810,106,17,0,0,1,0,2017-21,131301,23932,146825,30934,43889,32325
25017331101,1976.5,455450,218625,335635,6,2,3,22651,1863,2038,92000,23.88,1850.5,11,60,7,32,3,2,0,51,0,25,58,8,2,0,49,54,49,330,14,8,8,426,22,415,63,330,1,0,43,13,64,478,2020,3311,1665,1646,721,2041,549,2735,41,3,263,1,264,25,162,81,914,1197,914,340,222,208,103,27,14,283,216,56,7,4,0,0,0,2017-21,136800,20560,144063,21029,122625,74928
25017365202,1973,690000,414675,465750,8,3,4,40725,2613,2646,58000,9.31,2650.5,14,37,11,19,5,2,0,67,0,6,59,17,2,0,58,60,58,556,16,7,12,645,19,658,41,556,3,0,99,13,71,699,2020,5067,2350,2717,1296,2716,1055,4002,113,0,449,0,449,38,206,259,1400,1814,1400,532,291,345,162,49,21,414,341,56,13,2,2,0,0,2017-21,201823,34762,221944,26552,0,0
25009211401,1987,439900,165000,288675,5,2,2,13700,1893,1817.5,59000,14.92,1950.5,8,107,9,30,6,2,0,151,0,14,63,13,3,0,50,49,50,199,10,7,17,421,30,376,109,199,4,3,136,2,66.6,485,2020,4261,1989,2272,772,2502,987,3421,137,10,142,0,142,33,233,285,1090,1730,1090,514,254,207,67,32,16,640,526,94,14,4,1,1,0,2017-21,99490,22770,137721,47663,84250,26808
25017332300,1961,456000,188000,370000,7,3,3,19998,1922,1857.5,121900,30.81,1950.5,11,67,13,33,8,2,0,77,0,23,120,13,3,0,115,123,115,738,21,26,33,700,23,731,72,738,0,0,28,9,70.1,803,2020,6955,3399,3556,1543,4177,1235,4762,528,7,1210,0,1210,27,204,217,1888,2458,1888,673,452,453,201,74,35,570,472,78,10,5,3,1,1,2017-21,125500,21540,132583,38296,96172,36819
25017332202,1975,509000,247500,361000,6,3,3,19998,1862,2560.5,94485.5,23.1,1850.5,12,30,8,18,2,1,0,24,0,6,87,4,2,0,37,38,37,361,6,13,14,488,18,508,31,361,2,1,130,5,75.5,539,2020,6640,3203,3437,1310,4184,1146,4090,419,3,1511,0,1511,70,220,327,1697,2714,1697,661,420,407,143,45,21,1017,809,191,13,3,1,0,0,2017-21,113042,21725,124067,16058,90718,22856
25009221400,1900,270800,143153,211552.5,0,2,3,4450,1323.5,2492,45000,17.84,1350.5,10,30,7,14,9,9,0,24,0,15,39,21,10,5,37,40,37,151,23,22,19,299,25,350,38,151,68,43,66,4,69.6,388,2020,3415,1701,1714,584,2236,595,2867,52,4,35,9,44,47,184,217,837,1544,837,394,225,130,52,22,14,707,550,131,24,2,0,0,0,2017-21,57039,13237,77500,36247,44007,4809
25009221902,1970,350000,1e+05,164968,0,2,3,13195,1442,1993,27000,11.425,1550.5,10,53,12,54,13,11,0,53,0,15,94,30,13,3,70,66,70,452,26,18,29,687,42,740,62,452,33,0,155,68,74.1,802,2020,3661,1779,1882,591,2197,873,3314,38,3,25,2,27,16,160,103,992,1630,992,526,219,159,47,29,12,638,525,100,11,2,0,0,0,2017-21,86308,9325,90313,18999,56406,34593
25025040300,1885,619000,390500,435000,5,2,2,0,1107,1895,135000,29.675,1150.5,15,46,5,18,1,2,0,42,0,8,51,4,3,0,86,84,86,302,13,12,29,1098,51,1157,46,302,45,14,825,2,51.1,1203,2020,4525,2085,2440,951,3209,365,3506,226,0,138,0,138,21,169,465,1067,2021,1067,483,300,191,67,21,5,954,622,283,44,5,0,0,0,2017-21,155959,16951,172361,42843,137781,32980
25017352500,1900,650000,339000,397600,5,2,2,0,1083,2184,215000,50.81,1050.5,11,41,3,9,0,0,0,33,0,8,29,1,0,6,25,23,25,28,10,6,13,290,18,296,41,28,17,15,239,0,73.9,337,2020,3466,1780,1686,454,2700,312,1767,552,4,542,0,542,23,205,373,557,1446,557,249,154,94,43,8,9,889,441,224,148,64,9,1,2,2017-21,116010,19352,123958,83813,114770,24147
25025170702,1915,350000,176250,283932.5,8,3,4,3802.5,2210,2165,82473,33.33,2250.5,11,81,9,13,13,11,1,57,0,11,44,29,17,7,49,49,49,67,46,21,14,352,31,374,90,67,99,68,115,5,69.2,464,2020,7995,4064,3931,1939,5346,710,1981,363,2,595,1,596,232,277,4544,1729,2545,1729,411,433,431,251,114,89,816,594,117,53,38,9,3,2,2017-21,51193,7749,51280,46320,51117,10656
